time,lat,lng,x_g,y_g,z_g
151736,33.099449,-96.092117,0.06,-0.06,0.99
152285,33.099449,-96.092117,0.06,-0.06,1.00
152844,33.099449,-96.092117,0.07,-0.07,0.99
153359,33.099449,-96.092117,0.07,-0.06,0.99
153873,33.099449,-96.092117,0.06,-0.06,1.00
154389,33.099449,-96.092117,0.06,-0.07,0.99
154903,33.099449,-96.092117,0.06,-0.07,1.00
155431,33.099449,-96.092117,0.06,-0.07,0.99
155970,33.099449,-96.092117,0.06,-0.05,0.99
156626,33.099468,-96.092155,0.06,-0.07,0.99
157176,33.099468,-96.092155,0.06,-0.06,1.00
157832,33.099468,-96.092155,0.06,-0.06,0.99
158347,33.099468,-96.092155,0.06,-0.06,1.00
158863,33.099468,-96.092155,0.07,-0.06,0.99
159378,33.099468,-96.092155,0.07,-0.06,0.99
159892,33.099468,-96.092155,0.06,-0.06,1.00
160408,33.099468,-96.092155,0.06,-0.06,1.00
160937,33.099468,-96.092155,0.06,-0.06,0.99
161594,33.099468,-96.092170,0.06,-0.06,0.99
162145,33.099468,-96.092170,0.07,-0.06,0.99
162800,33.099468,-96.092170,0.06,-0.07,0.99
163332,33.099468,-96.092170,0.06,-0.07,1.01
163847,33.099468,-96.092170,0.04,-0.08,0.99
164362,33.099468,-96.092170,0.08,-0.06,1.01
164876,33.099468,-96.092170,0.08,-0.06,0.99
165393,33.099468,-96.092170,0.08,-0.06,0.99
165907,33.099468,-96.092170,0.07,-0.05,0.99
166559,33.099468,-96.092170,0.06,-0.04,1.07
167109,33.099468,-96.092170,0.12,-0.03,1.05
167764,33.099468,-96.092170,0.04,-0.13,0.86
168314,33.099468,-96.092170,0.26,-0.34,0.93
168839,33.099468,-96.092170,0.23,0.02,0.95
169355,33.099468,-96.092170,0.11,-0.04,1.00
169869,33.099468,-96.092170,0.04,-0.09,0.98
170384,33.099468,-96.092170,0.04,-0.06,1.05
170899,33.099468,-96.092170,0.04,-0.05,0.98
171491,33.099468,-96.092170,0.03,-0.08,0.99
172041,33.099468,-96.092170,0.04,-0.13,0.98
172697,33.099468,-96.092170,0.01,-0.07,1.08
173247,33.099468,-96.092170,0.08,-0.05,0.93
173852,33.099468,-96.092170,0.04,-0.13,0.96
174368,33.099468,-96.092170,-0.06,-0.19,1.05
174882,33.099468,-96.092170,0.10,-0.35,0.99
175398,33.099468,-96.092170,0.10,-0.31,0.83
175928,33.099468,-96.092170,0.15,-0.09,0.82
176584,33.099468,-96.092170,0.20,-0.17,0.92
177134,33.099468,-96.092170,0.19,-0.14,0.95
177792,33.099468,-96.092170,0.20,-0.10,1.00
178342,33.099468,-96.092170,0.15,-0.13,0.97
178859,33.099468,-96.092170,0.27,-0.22,0.84
179383,33.099468,-96.092170,0.21,-0.16,0.83
179898,33.099468,-96.092170,0.05,-0.15,0.96
180472,33.099468,-96.092170,0.14,-0.12,1.03
181022,33.099468,-96.092170,0.16,-0.09,0.97
181680,33.099468,-96.092170,0.22,-0.12,1.00
182230,33.099468,-96.092170,0.17,-0.13,1.01
182880,33.099468,-96.092170,0.23,-0.08,0.96
183396,33.099468,-96.092170,0.25,-0.08,1.04
183932,33.099468,-96.092170,0.22,-0.03,0.96
184601,33.099468,-96.092170,0.21,-0.08,1.03
185151,33.099468,-96.092170,0.31,0.04,0.91
185807,33.099468,-96.092170,0.21,-0.09,0.99
186357,33.099468,-96.092170,0.22,-0.16,0.97
186889,33.099468,-96.092170,0.28,-0.17,0.94
187404,33.099468,-96.092170,0.24,-0.14,0.91
187935,33.099468,-96.092170,0.28,-0.11,1.06
188593,33.099441,-96.092285,0.18,-0.15,0.78
189143,33.099441,-96.092285,0.19,-0.19,0.98
189799,33.099441,-96.092285,0.07,-0.17,0.95
190349,33.099441,-96.092285,0.05,-0.18,0.99
190895,33.099441,-96.092285,0.05,-0.19,0.98
191463,33.099441,-96.092285,0.05,-0.19,0.96
192014,33.099441,-96.092285,0.05,-0.19,0.98
192670,33.099441,-96.092285,0.04,-0.18,0.97
193220,33.099441,-96.092285,0.04,-0.19,0.98
193868,33.099441,-96.092285,0.05,-0.19,0.97
194383,33.099441,-96.092285,0.06,-0.18,0.97
194898,33.099441,-96.092285,0.05,-0.18,0.97
195487,33.099441,-96.092285,0.05,-0.18,0.97
196037,33.099441,-96.092285,0.05,-0.19,0.94
196695,33.099441,-96.092285,0.08,-0.18,1.02
197243,33.099441,-96.092285,0.07,-0.19,0.96
